material_id,target,filename,spacegroup_num,crystal_system_int,structural complexity per atom,structural complexity per cell,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,mean Average bond length,std_dev Average bond length,mean Average bond angle,std_dev Average bond angle,mean CN_VoronoiNN,std_dev CN_VoronoiNN,density,vpa,packing fraction,a,b,c,alpha,beta,gamma,natoms
qmof-13af5eb,4.451091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e212836,4.4144950000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b23782e,3.768665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4d9f4e8,3.779048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e758e02,3.108594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-1df1f71,4.311225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a97dbc4,3.993551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c605c0a,3.66704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-d1ec783,4.403321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e02e5c6,2.350724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-294c6fc,3.678331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-18fef57,5.078544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ccded81,2.963204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b6e06d1,2.512537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6068fe2,4.354362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-fdef13d,3.17483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-270f527,4.250824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-48ec37d,2.898594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7df997f,3.073901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-63babd7,7.174092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-03f76d4,7.130829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7b26ade,2.669706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-854b146,4.490653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-aef345f,4.511251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-bc8c13d,6.293281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a668ff8,3.890015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4d020d6,2.826174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-eca8b2e,3.851764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7f0e1cd,2.521385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-309cef3,4.171501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-873a982,3.659258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-136a607,3.783687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0ac7a90,3.800706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-1814167,3.819652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8eba52e,3.772002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-df7fc19,4.477887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-43a7019,4.491474999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7ef0e18,4.368788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-d1cbf2f,4.218633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6a9204c,3.097808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8fa9c85,4.249642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-d5014d8,3.953911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f91eaa7,3.674814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5cbb170,4.026366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f441841,3.720497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a715883,4.045351999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ecc4da9,3.305218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-34b5f2d,3.210076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0baeff6,5.358555000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9e3b2f6,4.113931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-16dfff2,5.784015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-49bc51b,1.064698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6b9c221,3.62743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6db2252,4.235723999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-88bea54,4.094054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f161d3d,3.339028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ec9d083,3.4171050000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5a4677e,4.692407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f16d368,3.856891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-844ba33,4.785478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3f97eed,3.668316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0614d31,4.149813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e11d9cb,2.220878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5eabff0,1.579924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9a9e64a,1.6085950000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c4b76e9,1.6089179999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-fbdd307,4.88913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3657264,4.191069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8b0680e,3.3178140000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-679bb6b,3.858951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a07366c,4.102639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-213c150,3.434582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-25b0904,3.4108780000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8499bb2,3.553777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6eae3f7,3.448569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6840e6b,4.222265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-32c8f96,3.886696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6504d94,3.562534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e29dfd2,3.75661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c458714,6.1060490000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-de9d67c,3.235459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3d63cef,3.185173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a7e3a59,3.18697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-666050e,2.510974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ba1edaa,3.173971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e132d67,2.505995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a8cfc39,3.60036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-fe4db64,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e5d44b6,6.700452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b2a8e0e,4.008101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9ca48a0,5.615622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-1246441,6.289038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c8b355e,4.734334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-cc0c005,3.33401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6ff64b6,5.055324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-bcc1269,4.493421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-68a8f48,4.828193000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-dd76d21,3.523015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b7b8b62,3.187236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b46d9f5,3.988548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9977307,3.636163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7f0f059,3.079089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-37e791c,2.940734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e54c960,3.958009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3c96780,3.711419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-14c3c38,2.6223650000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e036ae1,4.020318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4c3897e,3.98045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8676659,1.803879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7787590,2.978556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e6a0327,2.774858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0fa2384,3.152253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-86ab3d5,5.163579,qmof-86ab3d5.cif,14.0,2.0,0.2571428571428571,18.0,0.1997569974384689,1.542093574148862,0.7533084644930751,1.058630939478206,1.0586308537359277,0.3092076827465005,0.2319086060643735,0.810503407932893,1.445060369202322,0.3755418096599833,114.32433108138808,20.660934668646327,15.942857142857145,4.282474966270637,1.905842637345768,10.200860374973482,0.7578787878787879,5.0188581,9.97618401,14.65175846,90.00002781,90.00022701,103.25356458,70.0
qmof-7d02795,2.648689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-2943f96,3.861771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e4ec22b,4.090467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-537f6ec,4.546761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b3bf417,3.66414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-778efcb,4.325057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c0f13ca,3.791023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e3a20ba,2.925275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3029056,3.747257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-beb7ad4,3.686934,qmof-beb7ad4.cif,15.0,2.0,0.2625,21.0,0.1879753076483176,1.5786282577971011,0.7103642973734778,1.1574538914870995,1.1574536073713555,0.2586548666056712,0.1713261209240951,0.7988807943478012,1.395048798871081,0.3588058683271335,116.33799503640071,18.73936168409578,16.45,4.242346049062948,1.2925953272534083,14.441689576377694,0.5268518518518519,7.35565792,11.66693949,14.93502727,113.0099717,100.73633383,89.98261315,80.0
qmof-285b2ff,2.868619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-02fc147,2.718596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3b6652e,5.003484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9f9b665,3.145476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ffe1312,3.679138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9845d29,4.22914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ef5f46f,2.5037200000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f774737,2.969764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8b88ed3,4.1909030000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-83e07e9,4.324133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6e5f0d6,4.10216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7edffdc,3.819452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e18a048,4.044465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b9c5c8c,5.934106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-2bb9974,2.11152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b5ec64a,3.390173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-546dd2b,2.994501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e84c5c9,3.768696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0eba9d1,5.248517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-aca49e8,4.034191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0056327,4.281543,qmof-0056327.cif,14.0,2.0,0.25,19.0,0.2989214949842673,1.9105004990274248,0.7214895871415044,1.6255862754754484,1.625586023467631,0.3985745389324611,0.4255096446459993,0.7911110941638856,1.5019349498683805,0.5800397943486567,111.5485225975922,14.555055041715828,15.105263157894736,3.2990387250978563,2.5454770284270625,10.194539427275531,0.7976608187134502,4.57521325,9.494364289999998,17.87846971,93.93755912,90.00014499999999,89.99978259,76.0
qmof-6815e74,2.2335890000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-43a7c42,4.333075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b1eac6f,4.192879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e0e4dbd,4.065049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-da91405,4.285851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-206a6de,5.800441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c36c401,3.604539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f4ccf24,4.664026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3f72143,4.70474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-285d109,3.658206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-702a0a9,3.495797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-050c8bc,4.502575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6a08cb9,3.801088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-bbea870,3.389058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-50cbb92,3.707296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b1c70fd,4.297093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-01edd7e,3.925913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7505ece,3.754705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b44d887,3.543991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-cf8f441,6.671018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b4a483b,3.105279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-10947da,3.705187000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-401a2c2,3.658434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8b6c81e,4.939714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4e4b76a,5.174367999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-520ebea,4.091473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-221bac5,4.577834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
